model,scenario,region,variable,unit,year,value,data_source
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.97717521238226,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.103457912908322,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.44426110524987,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.874479757307835,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,24.578175597853317,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,27.342137953106008,ar6
PROMETHEUS 1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,30.152806611201047,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.570339121316607,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.675630164131945,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.85303923361413,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.050772221892927,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.26937179743416,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.556419051878684,ar6
REMIND 1.7,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.88163203578863,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,15.002921426401777,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.79562398414501,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,21.115662756858498,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,24.923591190345505,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,28.84234752934984,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,32.85651678332145,ar6
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,36.93716992055238,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.988371834332762,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.785967929005505,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,21.12476221073271,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,24.955355124162896,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,28.92152041422415,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,33.016001536578244,ar6
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,37.16765224947656,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,15.001040058595057,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.79011134756914,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,21.14448915142055,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,25.04343692861617,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,29.10568158253449,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,33.330917848819766,ar6
REMIND 2.1,R2p1_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,37.64159149483018,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.588331947664683,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.704319338752484,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.90749269931104,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.128020754211654,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.36789426112493,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.683319550440398,ar6
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,28.041691488251153,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.687021438429719,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.80811824564755,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.995629915340725,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.195749500840243,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.405791440535474,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.67359135618566,ar6
REMIND-MAgPIE 1.7-3.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.986042589822244,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,15.032858861063161,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.843374805583398,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,21.14524273963317,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,25.04385806182054,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,29.10083303213657,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,33.315464745784716,ar6
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,37.578240298073496,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.87470839551427,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.053408454585828,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.13167917791325,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.29327158334378,ar6
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.433411414119643,ar6
